2018-11-26 14:27:12,157 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-26 14:27:12,157 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-26 14:27:44,521 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-26 14:27:44,521 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-11-26 14:27:44,521 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-26 14:27:44,521 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-26 14:27:59,125 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-26 14:27:59,125 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-11-26 14:27:59,125 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-26 14:27:59,125 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-26 14:28:27,393 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-26 14:28:27,393 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-11-26 14:28:27,393 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-26 14:28:27,393 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-26 14:28:54,560 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-26 14:28:54,560 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-11-26 14:28:54,576 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-26 14:28:54,576 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-26 14:29:03,593 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-26 14:29:03,593 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-11-26 14:29:03,593 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-26 14:29:03,593 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-26 14:29:19,071 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-26 14:29:19,071 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-11-26 14:29:19,071 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-26 14:29:19,071 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-26 14:29:25,788 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-26 14:29:25,788 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-11-26 14:29:25,788 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-26 14:29:25,788 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-26 14:29:52,955 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-26 14:29:52,955 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-11-26 14:29:52,955 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-26 14:29:52,955 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-26 14:30:33,858 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-26 14:30:33,858 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-11-26 14:30:33,858 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-26 14:30:33,874 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-26 14:30:35,941 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-26 14:30:35,941 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-11-26 14:30:35,941 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-26 14:30:35,941 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-26 14:30:46,860 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-26 14:30:46,860 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-11-26 14:30:46,860 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-26 14:30:46,860 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-26 14:30:48,919 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-26 14:30:48,934 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-11-26 14:30:48,934 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-26 14:30:48,934 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-26 14:31:10,995 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-26 14:31:11,010 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-11-26 14:31:11,010 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-26 14:31:11,010 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-26 14:31:14,681 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-26 14:31:14,681 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-11-26 14:31:14,681 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-26 14:31:14,681 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-26 14:31:18,906 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-26 14:31:18,906 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-11-26 14:31:18,906 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-26 14:31:18,906 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-26 14:31:20,943 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-26 14:31:20,943 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-11-26 14:31:20,943 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-26 14:31:20,959 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-26 14:31:23,490 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-26 14:31:23,505 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-11-26 14:31:23,505 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-26 14:31:23,505 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-26 14:31:36,303 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-26 14:31:36,303 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-11-26 14:31:36,303 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-26 14:31:36,303 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-26 14:31:45,504 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-26 14:31:45,504 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-11-26 14:31:45,504 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-26 14:31:45,504 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-26 14:32:00,504 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-26 14:32:00,504 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-11-26 14:32:00,504 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-26 14:32:00,504 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-26 14:32:02,754 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-26 14:32:02,754 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-11-26 14:32:02,754 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-26 14:32:02,754 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-26 14:32:06,794 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-26 14:32:06,794 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-11-26 14:32:06,794 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-26 14:32:06,810 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-26 14:32:12,928 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-26 14:32:12,928 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-11-26 14:32:12,928 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-26 14:32:12,928 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-26 14:32:30,324 [Worker-34] INFO  o.e.m.i.launch.MavenLaunchDelegate - E:\MyGit\Spring-Framework\SpringCoreExample
2018-11-26 14:32:30,324 [Worker-34] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B clean
2018-11-26 14:33:02,542 [Worker-37] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.spring.core:SpringCoreExample:0.0.1-SNAPSHOT @ E:\MyGit\Spring-Framework\SpringCoreExample\pom.xml.
2018-11-26 14:33:02,901 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-26 14:33:02,901 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-26 14:33:02,901 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-26 14:33:02,901 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-26 14:33:04,708 [Worker-31] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.spring.core:SpringCoreExample:0.0.1-SNAPSHOT @ E:\MyGit\Spring-Framework\SpringCoreExample\pom.xml.
2018-11-26 14:33:04,974 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-26 14:33:04,974 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-26 14:33:04,974 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
